feature,normal_mean,anomaly_mean,ratio,cohens_d
procedures_per_day,0.468904481715377,3.158662543130628,6.736260083451117,3.0654426366690712
number_emergency,0.09311798961530739,1.1673758865248227,12.536523730243005,2.1489749481683025
meds_per_day,5.002082918284974,12.76995761921294,2.552928015753741,2.0588574391406222
number_inpatient,0.1648067930806965,1.371631205673759,8.322661827429341,2.041245489287204
num_procedures,1.3960383258269027,4.0,2.8652508502090845,1.5003084518222864
number_outpatient,0.2648670357726842,1.7900709219858155,6.758375638416934,1.4471912660625477
labs_per_day,14.511931983186178,30.420428098300437,2.096235575907203,1.3081370383351645
num_medications,15.62517570785163,19.75035460992908,1.2640084808777257,0.4986349841468668
time_in_hospital,4.297914455377377,2.873758865248227,0.6686403126643657,-0.48501057219918686
num_lab_procedures,42.89285406925041,45.177304964539005,1.0532594751470805,0.114792069062894
n_active_diabetes_meds,1.1874264895722768,1.2865248226950354,1.083456394137253,0.1052142754703418
number_diagnoses,7.231059410769098,7.229787234042553,0.9998240677258646,-0.0006363034060030529
